"","subject","session","emotion","genuine.accuracy","genuine.rt","genuine.slider.correct","genuine.slider.incorrect","emotion.accuracy","emotion.slider.correct","emotion.slider.incorrect","group"
"1",25,1,"anger",0.75,1.92,3.92,5,0.88,3.71,1.5,"Experimental"
"2",25,2,"anger",0.81,1.19,4.82,4,1,3.75,NA,"Experimental"
"3",25,3,"anger",0.81,0.58,4.6,3.75,0.94,4.04,0,"Experimental"
"4",25,1,"fear",0.88,2.44,3.92,3.5,0.81,3.79,2.67,"Experimental"
"5",25,2,"fear",0.75,2.52,4.42,3.34,0.88,3.92,1.5,"Experimental"
"6",25,3,"fear",0.63,1.23,4.31,1.9,0.88,4.04,1.5,"Experimental"
"7",25,1,"happiness",0.69,0.8,4.21,4.8,1,3.94,NA,"Experimental"
"8",25,2,"happiness",0.56,0.81,3.88,5,1,3.19,NA,"Experimental"
"9",25,3,"happiness",0.56,1.08,4,5,1,3.69,NA,"Experimental"
